num,resultado,resultadoAux,i,i <= 5,j,j <= 5,resultadoAux.push(j * i),resultado.push(resultadoAux),resultadoAux = []
5,[],[],0,true,0,true,[0],-,-
,[],[0],-,-,1,true,"[0, 0]",-,-
,[],"[0, 0]",-,-,2,true,"[0, 0, 0]",-,-
,[],"[0, 0, 0]",-,-,3,true,"[0, 0, 0, 0]",-,-
,[],"[0, 0, 0, 0]",-,-,4,true,"[0, 0, 0, 0, 0]",-,-
,[],"[0, 0, 0, 0, 0]",-,-,5,true,"[0, 0, 0, 0, 0, 0]",-,-
,[],"[0, 0, 0, 0, 0, 0]",-,-,6,false,-,true,true
,"[0, 0, 0, 0, 0, 0]",[],1,true,0,true,[0],-,-
,"[0, 0, 0, 0, 0, 0]",[0],-,-,1,true,"[0, 1]",-,-
,"[0, 0, 0, 0, 0, 0]","[0, 1]",-,-,2,true,"[0, 1, 2]",-,-
,"[0, 0, 0, 0, 0, 0]","[0, 1, 2]",-,-,3,true,"[0, 1, 2, 3]",-,-
,"[0, 0, 0, 0, 0, 0]","[0, 1, 2, 3]",-,-,4,true,"[0, 1, 2, 3, 4]",-,-
,"[0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4]",-,-,5,true,"[0, 1, 2, 3, 4, 5]",-,-
,"[0, 0, 0, 0, 0, 0]","[0, 1, 2, 3, 4, 5]",-,-,6,false,-,true,true
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5]]",[],2,true,0,true,[0],-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5]]",[0],-,-,1,true,"[0, 2]",-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5]]","[0, 2]",-,-,2,true,"[0, 2, 4]",-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5]]","[0, 2, 4]",-,-,3,true,"[0, 2, 4, 6]",-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5]]","[0, 2, 4, 6]",-,-,4,true,"[0, 2, 4, 6, 8]",-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5]]","[0, 2, 4, 6, 8]",-,-,5,true,"[0, 2, 4, 6, 8, 10]",-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5]]","[0, 2, 4, 6, 8, 10]",-,-,6,false,-,true,true
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5], [0, 2, 4, 6, 8, 10]]",[],3,true,0,true,[0],-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5], [0, 2, 4, 6, 8, 10]]",[0],-,-,1,true,"[0, 3]",-,-
,"[[0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5], [0, 2, 4, 6, 8, 10]]","[0, 3]",-,-,2,true,"[0, 3, 6]",-,-
